 
GNB_CV	PART	FILTER	FEATS	ACC_TR	AUC_TR	ACC_TST	AUC_TST	TIME
69	5	ALL	4635	0,8189102564102564	0,8637653736991485	0,7677419354838709	0,8055	0,2582278251647949

69	1	Chi2	50	0,7845659163987139	0,8586021672307262	0,6942675159235668	0,7732293697205979	0,11965489387512207
69	2	Chi2	50	0,8118971061093248	0,8730400223553885	0,6624203821656051	0,7440708252111761	0,12330460548400879
69	3	Chi2	50	0,7451923076923077	0,8442474599975319	0,7419354838709677	0,8071666666666667	0,10582900047302246
69	4	Chi2	50	0,719551282051282	0,8212948870881494	0,6451612903225806	0,7479166666666667	0,07013392448425293
69	5	Chi2	50	0,7243589743589743	0,8385041750647856	0,6193548387096774	0,7468333333333333	0,06660151481628418
 
Log file store in ,/logs/log_Chi2_5_19,txt 
 
 
GNB_CV	PART	FILTER	FEATS	ACC_TR	AUC_TR	ACC_TST	AUC_TST	TIME
19	1	ALL	4635	0,8086816720257235	0,8746494033388188	0,7197452229299363	0,7871994801819362	0,25995492935180664
19	2	ALL	4635	0,8118971061093248	0,8910433549642418	0,6242038216560509	0,7716861598440546	0,2562522888183594
19	3	ALL	4635	0,8205128205128205	0,8607471926288511	0,8	0,8285	0,2367229461669922
19	4	ALL	4635	0,8012820512820513	0,84508555797787	0,7677419354838709	0,7975833333333333	0,23514127731323242
19	5	ALL	4635	0,8189102564102564	0,8637653736991485	0,7677419354838709	0,8055	0,23695707321166992

19	1	Chi2	5	0,6607717041800643	0,7864025418904792	0,6242038216560509	0,7378167641325536	0,11649870872497559
19	2	Chi2	5	0,6639871382636656	0,7847983357655168	0,6369426751592356	0,7241715399610137	0,10836601257324219
19	3	Chi2	5	0,6602564102564102	0,7325490518695241	0,6064516129032258	0,665	0,048848867416381836
19	4	Chi2	5	0,6778846153846154	0,7214532516144956	0,5870967741935483	0,6873333333333334	0,05117011070251465
19	5	Chi2	5	0,6875	0,7672761301468471	0,5483870967741935	0,5185	0,062029123306274414
 
Log file store in ,/logs/log_Chi2_5_42,txt 
 
 
GNB_CV	PART	FILTER	FEATS	ACC_TR	AUC_TR	ACC_TST	AUC_TST	TIME
42	1	ALL	4635	0,8086816720257235	0,8746494033388188	0,7197452229299363	0,7871994801819362	0,23884797096252441
42	2	ALL	4635	0,8118971061093248	0,8910433549642418	0,6242038216560509	0,7716861598440546	0,23824381828308105
42	3	ALL	4635	0,8205128205128205	0,8607471926288511	0,8	0,8285	0,23714947700500488
42	4	ALL	4635	0,8012820512820513	0,84508555797787	0,7677419354838709	0,7975833333333333	0,23681092262268066
42	5	ALL	4635	0,8189102564102564	0,8637653736991485	0,7677419354838709	0,8055	0,24007868766784668

42	1	Chi2	5	0,6607717041800643	0,7864025418904792	0,6242038216560509	0,7378167641325536	0,1674642562866211
42	2	Chi2	5	0,6639871382636656	0,7847983357655168	0,6369426751592356	0,7241715399610137	0,05592823028564453
42	3	Chi2	5	0,6602564102564102	0,7325490518695241	0,6064516129032258	0,665	0,051398515701293945
42	4	Chi2	5	0,6778846153846154	0,7214532516144956	0,5870967741935483	0,6873333333333334	0,05063128471374512
42	5	Chi2	5	0,6875	0,7672761301468471	0,5483870967741935	0,5185	0,06077861785888672
 
Log file store in ,/logs/log_Chi2_5_69,txt 
 
 
GNB_CV	PART	FILTER	FEATS	ACC_TR	AUC_TR	ACC_TST	AUC_TST	TIME
69	1	ALL	4635	0,8086816720257235	0,8746494033388188	0,7197452229299363	0,7871994801819362	0,255324125289917
69	2	ALL	4635	0,8118971061093248	0,8910433549642418	0,6242038216560509	0,7716861598440546	0,2558107376098633
69	3	ALL	4635	0,8205128205128205	0,8607471926288511	0,8	0,8285	0,25864481925964355
69	4	ALL	4635	0,8012820512820513	0,84508555797787	0,7677419354838709	0,7975833333333333	0,2597329616546631
69	5	ALL	4635	0,8189102564102564	0,8637653736991485	0,7677419354838709	0,8055	0,2575695514678955

69	1	Chi2	5	0,6607717041800643	0,7864025418904792	0,6242038216560509	0,7378167641325536	0,11924147605895996
69	2	Chi2	5	0,6639871382636656	0,7847983357655168	0,6369426751592356	0,7241715399610137	0,09365200996398926
69	3	Chi2	5	0,6602564102564102	0,7325490518695241	0,6064516129032258	0,665	0,06726622581481934
69	4	Chi2	5	0,6778846153846154	0,7214532516144956	0,5870967741935483	0,6873333333333334	0,0655527114868164
69	5	Chi2	5	0,6875	0,7672761301468471	0,5483870967741935	0,5185	0,07084918022155762
 
Log file store in ,/logs/log_CORR_100_19,txt 
 
 
GNB_CV	PART	FILTER	FEATS	ACC_TR	AUC_TR	ACC_TST	AUC_TST	TIME
19	1	ALL	4635	0,8086816720257235	0,8746494033388188	0,7197452229299363	0,7871994801819362	0,22635436058044434
19	2	ALL	4635	0,8118971061093248	0,8910433549642418	0,6242038216560509	0,7716861598440546	0,21939539909362793
19	3	ALL	4635	0,8205128205128205	0,8607471926288511	0,8	0,8285	0,22510528564453125
19	4	ALL	4635	0,8012820512820513	0,84508555797787	0,7677419354838709	0,7975833333333333	0,2197420597076416
19	5	ALL	4635	0,8189102564102564	0,8637653736991485	0,7677419354838709	0,8055	0,22760438919067383

19	1	CORR	99	0,7684887459807074	0,8631560426822324	0,6305732484076433	0,7139376218323586	40,94688582420349
19	2	CORR	99	0,7556270096463023	0,866209209178129	0,6369426751592356	0,7275828460038987	40,92449975013733
19	3	CORR	99	0,7708333333333334	0,8509368187240344	0,8	0,8720833333333333	41,01315498352051
19	4	CORR	99	0,7740384615384616	0,8528495331331496	0,7483870967741936	0,7973333333333333	41,12157416343689
19	5	CORR	99	0,7692307692307693	0,8508494097322201	0,7677419354838709	0,86	41,161344051361084
 
Log file store in ,/logs/log_CORR_100_42,txt 
 
 
GNB_CV	PART	FILTER	FEATS	ACC_TR	AUC_TR	ACC_TST	AUC_TST	TIME
42	1	ALL	4635	0,8086816720257235	0,8746494033388188	0,7197452229299363	0,7871994801819362	0,22585177421569824
42	2	ALL	4635	0,8118971061093248	0,8910433549642418	0,6242038216560509	0,7716861598440546	0,21349382400512695
42	3	ALL	4635	0,8205128205128205	0,8607471926288511	0,8	0,8285	0,21799349784851074
42	4	ALL	4635	0,8012820512820513	0,84508555797787	0,7677419354838709	0,7975833333333333	0,21174263954162598
42	5	ALL	4635	0,8189102564102564	0,8637653736991485	0,7677419354838709	0,8055	0,2213890552520752

42	1	CORR	99	0,7684887459807074	0,8631560426822324	0,6305732484076433	0,7139376218323586	36,09151268005371
42	2	CORR	99	0,7556270096463023	0,866209209178129	0,6369426751592356	0,7275828460038987	36,10012674331665
42	3	CORR	99	0,7708333333333334	0,8509368187240344	0,8	0,8720833333333333	36,20125102996826
42	4	CORR	99	0,7740384615384616	0,8528495331331496	0,7483870967741936	0,7973333333333333	36,223511934280396
42	5	CORR	99	0,7692307692307693	0,8508494097322201	0,7677419354838709	0,86	36,22927761077881
 
Log file store in ,/logs/log_CORR_100_69,txt 
 
 
GNB_CV	PART	FILTER	FEATS	ACC_TR	AUC_TR	ACC_TST	AUC_TST	TIME
69	1	ALL	4635	0,8086816720257235	0,8746494033388188	0,7197452229299363	0,7871994801819362	0,21770215034484863
69	2	ALL	4635	0,8118971061093248	0,8910433549642418	0,6242038216560509	0,7716861598440546	0,21283650398254395
69	3	ALL	4635	0,8205128205128205	0,8607471926288511	0,8	0,8285	0,21694612503051758
69	4	ALL	4635	0,8012820512820513	0,84508555797787	0,7677419354838709	0,7975833333333333	0,21177434921264648
69	5	ALL	4635	0,8189102564102564	0,8637653736991485	0,7677419354838709	0,8055	0,20524191856384277

69	1	CORR	99	0,7684887459807074	0,8631560426822324	0,6305732484076433	0,7139376218323586	36,045225858688354
69	2	CORR	99	0,7556270096463023	0,866209209178129	0,6369426751592356	0,7275828460038987	36,03853392601013
69	3	CORR	99	0,7708333333333334	0,8509368187240344	0,8	0,8720833333333333	36,15792965888977
69	4	CORR	99	0,7740384615384616	0,8528495331331496	0,7483870967741936	0,7973333333333333	36,160184144973755
69	5	CORR	99	0,7692307692307693	0,8508494097322201	0,7677419354838709	0,86	36,18632650375366
 
Log file store in ,/logs/log_CORR_10_19,txt 
 
 
GNB_CV	PART	FILTER	FEATS	ACC_TR	AUC_TR	ACC_TST	AUC_TST	TIME
19	1	ALL	4635	0,8086816720257235	0,8746494033388188	0,7197452229299363	0,7871994801819362	0,21767902374267578
19	2	ALL	4635	0,8118971061093248	0,8910433549642418	0,6242038216560509	0,7716861598440546	0,21286392211914062
19	3	ALL	4635	0,8205128205128205	0,8607471926288511	0,8	0,8285	0,2175137996673584
19	4	ALL	4635	0,8012820512820513	0,84508555797787	0,7677419354838709	0,7975833333333333	0,2117786407470703
19	5	ALL	4635	0,8189102564102564	0,8637653736991485	0,7677419354838709	0,8055	0,20385122299194336

19	1	CORR	9	0,6189710610932476	0,6617091522546859	0,5987261146496815	0,6616309291747888	36,17977595329285
19	2	CORR	9	0,6254019292604501	0,6840541911178729	0,5605095541401274	0,5984405458089669	36,104345083236694
19	3	CORR	9	0,6394230769230769	0,6757434906009625	0,5935483870967742	0,6073333333333334	36,19308686256409
19	4	CORR	9	0,6410256410256411	0,6859652009378472	0,5870967741935483	0,5791666666666666	36,22061038017273
19	5	CORR	9	0,6169871794871795	0,6646168401135287	0,5870967741935483	0,6143333333333334	36,238309383392334
 
Log file store in ,/logs/log_CORR_10_42,txt 
 
 
GNB_CV	PART	FILTER	FEATS	ACC_TR	AUC_TR	ACC_TST	AUC_TST	TIME
42	1	ALL	4635	0,8086816720257235	0,8746494033388188	0,7197452229299363	0,7871994801819362	0,22553086280822754
42	2	ALL	4635	0,8118971061093248	0,8910433549642418	0,6242038216560509	0,7716861598440546	0,2202451229095459
42	3	ALL	4635	0,8205128205128205	0,8607471926288511	0,8	0,8285	0,22502350807189941
